央视, #genre#
CETV1, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://222.141.134.191:8888/rtp/225.1.4.173:1712$河南uni#http://180.110.154.4:10001/rtp/239.49.8.115:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.115:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.115:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.115:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.115:8000$江苏cmc#http://171.109.52.42:6666/rtp/239.81.0.92:4056$广西cmc#http://123.13.244.212:4000/rtp/225.1.4.173:1712$河南uni#http://121.238.19.42:9999/rtp/239.49.8.115:8000$江苏cmc#http://113.14.128.231:8181/rtp/239.81.0.92:4056$广西cmc
CETV4, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.0.125:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.0.125:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.0.125:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.0.125:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.0.125:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.0.125:8000$江苏cmc
早期教育, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://111.165.51.139:46000/rtp/225.1.2.207:5002$天津uni
风云足球, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.85:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.85:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.85:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.85:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.85:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.85:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.52:9000$湖南cmc
高尔夫网球, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.86:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.86:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.86:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.86:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.86:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.86:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.62:9000$湖南cmc
央视台球, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.32:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.32:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.32:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.32:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.32:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.32:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.58:9000$湖南cmc
第一剧场, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.94:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.94:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.94:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.94:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.94:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.94:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.49:9000$湖南cmc
风云剧场, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.89:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.89:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.89:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.89:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.89:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.89:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.50:9000$湖南cmc
怀旧剧场, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.91:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.91:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.91:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.91:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.91:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.91:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.53:9000$湖南cmc
世界地理, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.87:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.87:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.87:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.87:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.87:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.87:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.57:9000$湖南cmc
兵器科技, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.88:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.88:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.88:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.88:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.88:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.88:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.59:9000$湖南cmc
女性时尚, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.93:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.93:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.93:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.93:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.93:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.93:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.55:9000$湖南cmc
风云音乐, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.92:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.92:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.92:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.92:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.92:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.92:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.51:9000$湖南cmc
央视文化精品, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.90:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.90:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.90:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.90:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.90:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.90:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.56:9000$湖南cmc
电视指南, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.84:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.84:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.84:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.84:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.84:8000$江苏cmc#http://121.238.19.42:9999/rtp/239.49.8.84:8000$江苏cmc#http://118.249.22.117:4022/rtp/239.76.254.61:9000$湖南cmc
卫视, #genre#
安徽卫视, http://example.com:0000/rtp/000.0.0.000:0000$北京uni1+#http://180.110.154.4:10001/rtp/239.49.8.80:8000$江苏cmc#http://180.121.106.97:8181/rtp/239.49.8.80:8000$江苏cmc#http://180.124.225.159:3000/rtp/239.49.8.80:8000$江苏cmc#http://180.124.225.164:3000/rtp/239.49.8.80:8000$江苏cmc#http://180.126.97.120:8001/rtp/239.49.8.80:8000$江苏cmc#http://125.82.75.20:10000/rtp/235.254.198.65:1536$重庆cmc#http://124.65.0.99:20000/rtp/239.3.1.211:8064$北京uni#http://121.238.19.42:9999/rtp/239.49.8.80:8000$江苏cmc#http://119.86.72.240:4022/rtp/235.254.198.65:1536$重庆cmc#http://114.254.80.240:2222/rtp/239.3.1.211:8064$北京uni#http://111.193.228.94:4022/rtp/239.3.1.211:8064$北京uni#http://111.196.132.49:20000/rtp/239.3.1.211:8064$北京uni
